Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Clague, Valerie  J",09/30/2016 to 10/22/2016,C5,10/12/2016,Action Print,,,,110 W 13th,Helna,MT,59601.0,,2,2234.56,postcard mailing,GN,,,,
"Clague, Valerie  J",06/23/2016 to 09/29/2016,C5,09/28/2016,Secretary of State,,,,1301 6th Ave Room 260,Helena,MT,59620.0,,2,100.0,Registered Voter List,GN,,,,
"Clague, Valerie  J",06/23/2016 to 09/29/2016,C5,08/16/2016,Home Depot,,,,1801 E Custer Ave,Helena,MT,59602.0,,2,120.65,Rebar for campaign signs,GN,,,,
"Clague, Valerie  J",06/23/2016 to 09/29/2016,C5,08/15/2016,Action Print,,,,110 W 13th,Helna,MT,59601.0,,2,230.0,Flyers,GN,,,,
"Clague, Valerie  J",06/23/2016 to 09/29/2016,C5,07/01/2016,Helena Stamp Works,,,,637 Helena Ave,Helena,MT,59601.0,,2,14.25,Badge,GN,,,,
"Clague, Valerie  J",05/22/2016 to 06/22/2016,C5,06/21/2016,Staples,,,,2020 Cromwell Dixon Lane,Helena,MT,59601.0,,2,23.73,Flyer Paper,GN,,,,
"Clague, Valerie  J",05/22/2016 to 06/22/2016,C5,06/19/2016,Sage Advertising,,,,PO Box 1142,Helena,MT,59624.0,,2,634.5,12 Highway and 50 Road Signs,GN,,,,
"Clague, Valerie  J",01/01/2016 to 04/28/2016,C5,04/12/2016,Staples,,,,2020 Cromwell,Helena,MT,596012.0,,2,24.48,OFFICE SUPPIES,GN,,,,
"Clague, Valerie  J",01/01/2016 to 04/28/2016,C5,03/07/2016,Montana Secretary of State,,,,,,,,,2,100.0,Voter file,GN,,,,
"Clague, Valerie  J",01/01/2016 to 04/28/2016,C5,01/29/2016,Valley Bank Helena,,,Valley Bank Helena,3030 Montana Ave,Helena,MT,59601.0,,2,24.75,Check Order (opening Account),GN,,,,
"Rosenbaum, Glenn  J.",11/24/2016 to 03/05/2017,C5,11/29/2016,,Glenn,J.,Rosenbaum,50 Maggie Hill Road,Clancy,MT,59634.0,,2,250.0,payment of initial campaign loan,GN,,,,
"Rosenbaum, Glenn  J.",05/22/2016 to 06/22/2016,C5,06/13/2016,Staples,,,,2020 Cromwell Dixon Lane,Helena,MT,59601.0,,2,404.7,Yard Signs- 30,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,10/28/2016,COSTCO,,,,3220 North Reserve St.,Missoula,MT,59808.0,,2,106.15,Food for volunteers,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/16/2016,Montana Capital Restoration Fund,,,,Montana Capital,Helena,MT,59620.0,,2,100.0,Thank you gifts,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/12/2016,"Lynn Exe, Chef",,,,1013 S. 5th Street W.,Missoula,MT,59801.0,,2,150.0,Food and Services,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/08/2016,COSTCO,,,,3220 North Reserve St.,Missoula,MT,59808.0,,2,172.87,FOOD & SUPPLIES ,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/28/2016,USPS,,,,200 E Broadway St,Missoula,MT,59802.0,,2,337.0,"700 Stamps for Direct Mail : e.g. Fundraising Letter, GOTV Mailer, Event Invitations and Thank you's",GN,,,,
