Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Brown, James",11/02/2024 to 11/04/2024,C7E,11/02/24,Arena LLC,,,,1260 Stringham Ave #400 ,Salt Lake City,UT,84106.0,,All Other Expenditures,5940.0,"""James Brown for Montana"" #54,000 MMS",General,MMS,"#54,000",,,,,
"Brown, James",09/16/2024 to 10/14/2024,C5,10/14/2024,,Jon,,Metropoulos,835 Breckenridge ,Helena,MT,59601.0,4433.0,2,790.0,Refund of Contributions (NSF Checks),GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,10/10/2024,Anderson Broadcasting,,,,PO Box 10 ,Polson,MT,59860.0,10.0,2,2970.0,James Brown for Montana; 180 spots; 60 Seconds 10/09/24 - 10/21/24 ,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,09/29/2024,Anedot,,,,5555 HILTON AVE SUITE 106 ,Baton Rouge,LA,70808.0,2597.0,2,49.0,Credit Card Fees 09/23/24 -09/24/24 (8 Contributors),GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,10/14/2024,Arena,,,,1260 Stringham Ave #350 ,Salt Lake City,UT,84106.0,,2,28457.0,James Brown for Montana Facebook Pop-Up Ads 10/14/24 - 11/05/24 and Campaign Management Fee,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,09/27/2024,Flathead County Republican CC,,,,PO Box 8891 ,Kalispell,MT,59904.0,1891.0,2,1500.0,Lincoln Reagan Dinner Table Sponsorship,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,10/14/2024,Townsquare Media,,,,27 N 27th St 23 Floor ,Billings,MT,59101.0,2357.0,2,2960.0,James Brown for Montana 30 Second Radio Ad 10/16/24 - 11/01/24,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,09/30/2024,Signs Now,,,,323 N Last Chance Gulch,Helena,MT,59601.0,,2,400.0,#10- 4x4 ft. Campaign Signs James Brown for Montana,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,10/14/2024,,Jane,,Gillette,32 Riverview Rd ,Three Forks,MT,59752.0,9501.0,2,350.0,Refund Excess Contribution,GN,,,,,,,N
"Brown, James",09/16/2024 to 10/14/2024,C5,09/17/2024,Womack's Printing Place,,,,126 N Montana ,Dillon,MT,59725.0,3308.0,2,250.0,James Brown for Montana 2 Sided  2 in. x 4 in. Dillon Newspaper Insert Ad,GN,,,,,,,N
