Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Hedalen, Susie",10/28/2024 to 10/28/2024,C7E,10/28/24,Beacon Consulting LLC,,,,3840 Musselshell Road,East Helena,MT,59635.0,,All Other Expenditures,3000.0,General Campaign Consultant,General,,,,,,,
"Hedalen, Susie",10/28/2024 to 10/28/2024,C7E,10/28/24,"Burnt Timber Consulting, LLC",,,,PO Box 5315,Helena,MT,59604.0,,All Other Expenditures,3000.0,October and November Bookkeeping and Compliance,General,,,,,,,
"Hedalen, Susie",10/28/2024 to 10/28/2024,C7E,10/28/24,FlexPoint Media Inc,,,,6530 West Campus Oval Ste 175,New Albany,OH,43054.0,,All Other Expenditures,16000.0,TV Placement MT SOPI Billings TV Buy 10.29-11.05,General,,,,,,,
"Hedalen, Susie",10/23/2024 to 10/23/2024,C7E,10/23/24,FlexPoint Media Inc,,,,6530 West Campus Oval Ste 175,New Albany,OH,43054.0,,All Other Expenditures,6000.0,TV Placement MT SOPI Billings TV Buy 10.23-10.29,General,,,,,,,
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,10/14/2024,FlexPoint Media Inc,,,,6530 West Campus Oval Ste 175,New Albany,OH,43054.0,,2,50325.0,TV Placement MT SOPI Billings TV Buy 10.16-10.22,GN,,,,,,,N
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,10/02/2024,Integrated Solutions: Political,,,,"4142 Adams Ave, Ste 103-550",San Diego,CA,92116.0,,2,450.0,Compliance software,GN,,,,,,,
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,09/30/2024,FlexPoint Media Inc,,,,6530 West Campus Oval Ste 175,New Albany,OH,43054.0,,2,50325.0,TV Placement MT SOPI Billings TV Buy 10.02-10.08,GN,,,,,,,N
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,09/30/2024,Valley Bank Of Helena,,,,3030 North Montana Avenue,Helena,MT,59601.0,,2,20.0,BANK FEE,GN,,,,,,,N
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,10/04/2024,Valley Bank Of Helena,,,,3030 North Montana Avenue,Helena,MT,59601.0,,2,20.0,BANK FEE,GN,,,,,,,
"Hedalen, Susie",09/16/2024 to 10/14/2024,C5,10/04/2024,FlexPoint Media Inc,,,,6530 West Campus Oval Ste 175,New Albany,OH,43054.0,,2,50325.0,TV Placement MT SOPI Billings TV Buy 10.09-10.15,GN,,,,,,,
