Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Jacobsen, Christi  K",05/27/2024 to 05/28/2024,C7E,05/28/24,McShane,,,,7975 W Badura Ave,Las Vegas,NV,89113.0,,All Other Expenditures,4274.06,Data Services,Primary,,,,,,,
"Jacobsen, Christi  K",05/27/2024 to 05/28/2024,C7E,05/27/24,McShane,,,,7975 W Badura Ave,Las Vegas,NV,89113.0,,All Other Expenditures,1829.0,Campaign management,Primary,,,,,,,
"Jacobsen, Christi  K",05/23/2024 to 05/23/2024,C7E,05/23/24,McShane,,,,7975 W Badura Ave,Las Vegas,NV,89113.0,,All Other Expenditures,7202.8,Digital advertising SMS,Primary,,,,,,,
"Jacobsen, Christi  K",05/21/2024 to 05/21/2024,C7E,05/21/24,Fastsigns,,,,2800 Montana ave,Helena,MT,59601.0,,All Other Expenditures,1130.8,Campaign signs,Primary,,,,,,,
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/22/2024,Glacier Gateway,,,,99 Hwy 89,Vaughn,MT,59487,,2,105.22,GAS - delivered signs 155 miles in north central montana ,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/25/2024,Amazon,,,,410 Terry Avenue North,Seattle,WA,98109,,2,37.98,Envelopes,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/24/2024,Murdoch's,,,,3050 N Montana Ave,Helena,MT,59601,,2,28.96,Materials for signs,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,06/11/2024,Fast Signs,,,,2800 N Montana Ave,Helena,MT,59601,,2,150.0,Campaign signs,GN,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/21/2024,Power Townsend,,,,1387 E. Custer Ave,Helena,MT,59601,,2,36.64,Materials for signs,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/22/2024,Clancy Post Office,,,,Clancy MOP ,Clancy,MT,59634,,2,68.0,100 stamps for mailer,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,06/12/2024,USPS,,,,500 NORTH LAST CHANCE GULCH,HELENA,MT,59601,,2,182.0,PO box renewal one year,GN,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/27/2024,McShane,,,,7975 W Badura Ave,Las Vegas ,NV,89113,,2,1829.0,Campaign management,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/23/2024,McShane,,,,7975 W Badura Ave,Las Vegas ,NV,89113,,2,7202.8,Digital advertising SMS,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/21/2024,Fastsigns,,,,2800 Montana ave,Helena,MT,59601,,2,1130.8,Campaign signs,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/28/2024,McShane,,,,7975 W Badura Ave,Las Vegas ,NV,89113,,2,4274.06,Data Services,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/25/2024,Walmart,,,,2750 Prospect Ave.,Helena,MT,59601,,2,19.37,Envelopes,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,06/15/2024,Anedot,,,,1920 McKinney Ave 7th floor,Dallas,TX,75201,,2,227.0,Fee for credit card transaction,GN,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/15/2024,Rock Hand Hardware,,,,2414 N. Montana Ave,Helena,MT,59602,,2,20.84,Materials for Sign,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,06/05/2024,whitepages.com,,,,  1301 5th Ave Ste 1600 ,Seattle  ,WA,98101-2,,2,799.0,Data,GN,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/25/2024,Costco,,,,2195 E. Custer Ave.,Helena,MT,59602,,2,762.49,1000 stamps and ink cartridge,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/25/2024,Staples,,,,2020 Cromwell Dixon Lane,Helena,MT,59602,,2,156.35,Envelopes and labels,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/21/2024,Murdoch's,,,,3050 N Montana Ave,Helena,MT,59601,,2,125.0,Signage Materials,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/21/2024,Staples,,,,2020 Cromwell Dixon Lane,Helena,MT,59602,,2,101.46,"mailing materials, labels, envelopes",PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,05/19/2024,Fastsigns,,,,2800 Montana ave,Helena,MT,59601,,2,525.0,Campaign signs,PM,,,,,,,N
"Jacobsen, Christi  K",05/15/2024 to 06/15/2024,C5,06/08/2024,McShane,,,,7975 W Badura Ave,Las Vegas ,NV,89113,,2,8546.62,General consultation for videographer,GN,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/13/2024,Ace Hardware,,,,2301 Brooks,Missoula,MT,59801,,2,7.59,Sign supplies,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/24/2024,United States Post Office ,,,,2300 N Harris Street ,Helena,MT,59601,,2,516.8,Stamps,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/26/2024,Fastsigns,,,,2800 Montana ave,Helena,MT,59601,,2,375.0,Campaing signs,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/14/2024,Anedot,,,,1920 McKinney Ave 7th floor,Dallas,TX,75201,,2,80.9,FEES ,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/03/2024,Greenfield Printers,,,,212 S Montana St,butte,MT,59701,,2,521.97,Campaign signs,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/22/2024,Allegra,,,,40 West Lawrence,Helena,MT,59601,,2,367.01,remittance envelopes,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/26/2024,UPS,,,,2047 N Last Chance Gulch,Helena,MT,59601,,2,115.0,Campaing signs,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/28/2024,Murdochs Ranch and Home Supply,,,,3050 North Montana Avenue,Helena,MT,59601,,2,157.79,EQUIPMENT TO HANG SIGNS,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/13/2024,Murdochs Ranch and Home Supply,,,,3050 North Montana Avenue,Helena,MT,59601,,2,155.8,EQUIPMENT TO HANG SIGNS,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/13/2024,Fastsigns,,,,2800 Montana ave,Helena,MT,59601,,2,2844.2,Campaign signs,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/16/2024,UPS,,,,2047 N Last Chance Gulch,Helena,MT,59601,,2,205.0,sign for campaign,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/25/2024,McShane,,,,7975 W Badura Ave,Las Vegas ,NV,89113,,2,1680.0,Campaign management,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/21/2024,Vans,,,,336 Euclid,Helena,MT,59601,,2,204.0,Stamps,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/30/2024,Greenfield Printers,,,,212 S Montana St,butte,MT,59701,,2,100.0,Campaign signs,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,05/09/2024,Greenfield Printers,,,,212 S Montana St,butte,MT,59701,,2,156.8,Envelopes,PM,,,,,,,N
"Jacobsen, Christi  K",04/16/2024 to 05/14/2024,C5,04/16/2024,United States Post Office ,,,,2300 N Harris Street ,Helena,MT,59601,,2,120.0,Stamps,PM,,,,,,,N
"Jacobsen, Christi  K",03/16/2024 to 04/15/2024,C5,04/08/2024,Costco,,,,2195 E. Custer Ave.,Helena,MT,59602,,2,300.0,"MAILING SUPPLIES (CATRIDGES, PAPER, STAMPS)",PM,,,,,,,N
"Jacobsen, Christi  K",03/16/2024 to 04/15/2024,C5,04/05/2024,Staples,,,,2020 Cromwell Dixon Lane,Helena,MT,59602,,2,300.0,"MAILING SUPPLIES (ENVELOPES, AND ADDRESS LABELS, PRINTING PAPER)",PM,,,,,,,N
"Jacobsen, Christi  K",03/16/2024 to 04/15/2024,C5,03/21/2024,,CHRISTI,,JACOBSEN,PO BOX 485,HELENA,MT,59624,,2,350.0,GAS AND FOOD FOR STAFF TO LEWISTOWN LINCOLDN REAGAN DINNER,PM,,,,,,,N
"Jacobsen, Christi  K",03/16/2024 to 04/15/2024,C5,03/27/2024,USPS,,,,500 NORTH LAST CHANCE GULCH,HELENA,MT,59601,,2,40.8,3 BOOKS OF STAMPS FOR MAILING,PM,,,,,,,N
"Jacobsen, Christi  K",03/16/2024 to 04/15/2024,C5,03/27/2024,Allegra,,,,40 West Lawrence,Helena,MT,59601,,2,295.45,remittance envelopes,PM,,,,,,,N
